Model,Avg.,Obj. Count,Abs. Dist.,Obj. Size,Room Size,Rel. Dist.,Rel. Dir.,Route Plan,Appr. Order
SS+depth,61.3,69.6,53.9,71.6,69.3,63.8,82.2,44.8,35.1
Spatial Stack to Layer 0/1/2,61.2,71.6,51.8,69.8,65.4,65.4,80.4,46.9,38.5
Spatial Stack to Layer 1/2/3,62.2,72.5,52.8,70.7,67.8,68.9,83.1,44.8,36.7
Spatial Stack to Layer 0/3/6,61.2,71.9,51.7,70.3,68.9,66.9,82.6,39.7,37.2
Spatial Stack- Cross Attn,60.6,71.2,50.9,68.5,69,63.9,80.3,41.2,39.3
Baseline+depth,59.6,71.2,50.5,70.4,62.8,63.1,75.3,43.3,40.5
GeoRope Fusion,60.2,70.1,49,70,62.2,63.4,77.5,45.9,43.5
Baseline,59.3,70.2,48.6,69.9,66.4,62.4,70.7,43.3,43.2
Extra Object token,58.6,70.2,47.8,69.4,62.7,61,67.6,43.3,46.4
0 spatial,56.4,69.2,46.5,69.3,56.5,60.6,65.6,41.8,41.7
Visual geo-RoPE,57.9,70.1,46,71,59.8,61.3,66.2,42.8,46.1
selective fusion,57.2,69.6,45.8,69.3,54.8,63.2,65.9,44.8,43.9
