model,display_name,feature_level,sample_size,delta125_mean,delta125_std,full_delta125,delta_abs_gap,delta_relative_gap,absrel_mean,absrel_std,full_absrel,absrel_abs_gap,absrel_relative_gap,mae_mean,mae_std
vlm3r_baseline,Baseline,projected_features,25,0.6271016200383505,0.0042877700981958896,0.772748,0.14564637996164953,0.18847849488015436,0.21635816991329193,0.010267407324128982,0.154915,0.061443169913291934,0.3966250518884029,0.38477459207982334,0.0054653409572049776
vlm3r_baseline,Baseline,projected_features,100,0.686052660147349,0.008101584474705043,0.772748,0.08669533985265099,0.11219095986356611,0.18848055601119995,0.000724332754551309,0.154915,0.033565556011199954,0.21667079373333734,0.3383784370601192,0.003794842653493636
vlm3r_baseline,Baseline,projected_features,200,0.7145059903462728,0.004002719199853459,0.772748,0.05824200965372717,0.07536999080389359,0.17923016846179962,0.000707118148142976,0.154915,0.024315168461799624,0.15695812840460655,0.31897006277379014,0.0010392180714770228
vlm3r_baseline,Baseline,projected_features,400,0.7379983067512512,0.0028363457626367833,0.772748,0.03474969324874877,0.044968985036193905,0.16998610893885294,0.0006605367613939304,0.154915,0.01507110893885294,0.0972863114537194,0.3016373939994174,0.0004314692442722892
vlm3r_baseline,Baseline,layer_0,25,0.65883735815684,0.013425773795246877,0.779912,0.12107464184316008,0.15524141421488588,0.19996664921442667,0.004221770037311731,0.154277,0.04568964921442667,0.2961533424582191,0.3609593146604737,0.007380381777567576
vlm3r_baseline,Baseline,layer_0,100,0.7110694050788879,0.004796839487029165,0.779912,0.06884259492111211,0.08826969571068545,0.17780804137388864,0.0015735051388268092,0.154277,0.023531041373888645,0.15252462372154402,0.32050466293771135,0.0025855746641247133
vlm3r_baseline,Baseline,layer_0,200,0.7323807875315348,0.003679598214288026,0.779912,0.047531212468465256,0.060944327652947064,0.17283995946248373,0.0017202364989229192,0.154277,0.018562959462483736,0.12032227397786927,0.3067218605319293,0.0016351284256948307
vlm3r_baseline,Baseline,layer_0,400,0.7536877592404684,0.0013528699779442677,0.779912,0.02622424075953167,0.033624615032890465,0.16218475004037222,0.0003588736432765954,0.154277,0.007907750040372225,0.05125683050858018,0.2900042690349572,0.0009621407223280097
vlm3r_baseline,Baseline,layer_1,25,0.6681470473607382,0.01111263746835811,0.789759,0.12161195263926183,0.15398615607959115,0.19688662886619568,0.0033666709577049995,0.148129,0.04875762886619567,0.3291565383293998,0.35351369603730404,0.005550031710258419
vlm3r_baseline,Baseline,layer_1,100,0.7195243239402771,0.004902778384272336,0.789759,0.07023467605972289,0.08893178306258351,0.17731937766075134,0.002677780088995945,0.148129,0.029190377660751332,0.1970605192821887,0.3160446794304235,0.002083005945038353
vlm3r_baseline,Baseline,layer_1,200,0.7385931015014648,0.001654889901835824,0.789759,0.051165898498535145,0.06478672417602731,0.16897960007190704,0.0023723454841626454,0.148129,0.020850600071907033,0.1407597436822434,0.30048319075828683,0.0007376998860317979
vlm3r_baseline,Baseline,layer_1,400,0.7621118426322937,0.0011888964400858374,0.789759,0.027647157367706288,0.03500708110664936,0.16033298273881277,0.001589207505341858,0.148129,0.012203982738812763,0.0823875320755069,0.2839841722647937,0.00025938966417457483
vlm3r_baseline,Baseline,layer_6,25,0.6794746319452921,0.010711367428199565,0.802778,0.12330336805470787,0.15359584848452235,0.19364778697490692,0.005275908835760828,0.144518,0.049129786974906914,0.3399561782954851,0.3447376846666293,0.006774599543559423
vlm3r_baseline,Baseline,layer_6,100,0.7303364475568136,0.00848674892227443,0.802778,0.0724415524431864,0.09023858706041571,0.17344367504119873,0.004218024574634698,0.144518,0.028925675041198723,0.20015274942359237,0.30606422950045714,0.005271596356180851
vlm3r_baseline,Baseline,layer_6,200,0.7516037424405416,0.004368277587310739,0.802778,0.05117425755945837,0.06374646235878209,0.16491040587425232,0.0025925277955087178,0.144518,0.020392405874252312,0.14110633882459148,0.2909005778126022,0.0029072299141346906
vlm3r_baseline,Baseline,layer_6,400,0.7752810915311178,0.004843374889324683,0.802778,0.027496908468882197,0.03425219483952251,0.1554164638121923,0.0016566454346901517,0.144518,0.010898463812192283,0.0754125009493093,0.2745251223465422,0.0031454239235664296
vlm3r_baseline,Baseline,layer_27,25,0.5014627675215403,0.009997710899640843,0.631001,0.12953823247845975,0.20529005893565896,0.29456538955370587,0.003476299350829444,0.225214,0.06935138955370587,0.3079355171246276,0.49934704022809057,0.007112850682506972
vlm3r_baseline,Baseline,layer_27,100,0.5617708365122477,0.0016677460816977303,0.631001,0.06923016348775235,0.10971482372888845,0.2591954966386159,0.003926840550398957,0.225214,0.03398149663861591,0.1508853652020563,0.44083407216722353,0.002260680448995086
vlm3r_baseline,Baseline,layer_27,200,0.5821657776832581,0.002557085966720712,0.631001,0.04883522231674198,0.07739325661408139,0.24400736888249716,0.002053819624448859,0.225214,0.018793368882497163,0.08344671682265385,0.41977610364033713,0.0020111040005714774
vlm3r_baseline,Baseline,layer_27,400,0.6057946483294169,0.0029319679709619837,0.631001,0.02520635167058316,0.03994661128997127,0.23462041219075522,0.002901599944151772,0.225214,0.00940641219075522,0.041766551771893486,0.4008645536380981,0.0005894064209919332
