model,display_name,feature_level,sample_size,subset_sha256_seed_0,subset_sha256_seed_1,subset_sha256_seed_2,delta125_seed_0,delta125_seed_1,delta125_seed_2,delta125_mean,delta125_std,full_delta125,delta125_signed_gap,delta125_absolute_gap,delta125_relative_gap,absrel_seed_0,absrel_seed_1,absrel_seed_2,absrel_mean,absrel_std,full_absrel,absrel_signed_gap,absrel_absolute_gap,absrel_relative_gap,mae_seed_0,mae_seed_1,mae_seed_2,mae_mean,mae_std
vlm3r_baseline,Baseline,projected_features,25,1ccaf3081f2fded5f3ae55fc9a43d0a57dca69a9ae12bbea1cfa392eb8931463,8deb91b1e559a4619629f0d4e1ce431bbdd7c5e2f40fc619626a7cc8a1fb82c5,f2299cb95fd51f374666233fa3db1b70039edfdcdc9c72f1d6011367b6537fbd,0.6251453757286072,0.6241408586502075,0.6320186257362366,0.6271016200383505,0.0042877700981958896,0.772748,-0.14564637996164953,0.14564637996164953,0.18847849488015436,0.213252454996109,0.22781988978385925,0.20800216495990753,0.21635816991329193,0.010267407324128982,0.154915,0.061443169913291934,0.061443169913291934,0.3966250518884029,0.3824101274911276,0.3910240654563682,0.38088958329197414,0.38477459207982334,0.0054653409572049776
vlm3r_baseline,Baseline,projected_features,100,d1d499ad2719087570ee5022eaa1cc03fe505b3b32ef5a15cfbd5b85ed4ba990,0b3645f3995f33cc2eee6a487e54c05468e28f9ff27c72aad82f67d29d1facd7,0408acd048b7b6051b9bb1b0f0b7f70d2bcdd6518c126120930ca83d6ff9b7d8,0.6775668859481812,0.6868853569030762,0.6937057375907898,0.686052660147349,0.008101584474705043,0.772748,-0.08669533985265099,0.08669533985265099,0.11219095986356611,0.18857845664024353,0.18915095925331116,0.18771225214004517,0.18848055601119995,0.000724332754551309,0.154915,0.033565556011199954,0.033565556011199954,0.21667079373333734,0.34209430138328883,0.3385317470554167,0.334509262741652,0.3383784370601192,0.003794842653493636
vlm3r_baseline,Baseline,projected_features,200,41c98a12df9ff81c2777475019d43a153cb65174b56cc7cf06c6b2c13d14e67d,f3ad3624e8243a7183a60ada8f4037f96e06902f6372d8ba0c652df1c0c538c9,40f5aa77baea685f0c6ba25ab020e4752a31d09e425cf07ffd26bdb231994ac8,0.7190969586372375,0.7126731276512146,0.7117478847503662,0.7145059903462728,0.004002719199853459,0.772748,-0.05824200965372717,0.05824200965372717,0.07536999080389359,0.1800031065940857,0.1790716052055359,0.17861579358577728,0.17923016846179962,0.000707118148142976,0.154915,0.024315168461799624,0.024315168461799624,0.15695812840460655,0.31819512922995513,0.3201509920224915,0.3185640670689239,0.31897006277379014,0.0010392180714770228
vlm3r_baseline,Baseline,projected_features,400,131b47a3f9cb581d0eb96121688b7c80df450bb576555be979d610d04c50ea19,131b47a3f9cb581d0eb96121688b7c80df450bb576555be979d610d04c50ea19,131b47a3f9cb581d0eb96121688b7c80df450bb576555be979d610d04c50ea19,0.7351168394088745,0.7407872676849365,0.7380908131599426,0.7379983067512512,0.0028363457626367833,0.772748,-0.03474969324874877,0.03474969324874877,0.044968985036193905,0.16929034888744354,0.1706046313047409,0.1700633466243744,0.16998610893885294,0.0006605367613939304,0.154915,0.01507110893885294,0.01507110893885294,0.0972863114537194,0.3013420736259016,0.3014375558171248,0.3021325525552258,0.3016373939994174,0.0004314692442722892
vlm3r_baseline,Baseline,layer_0,25,1ccaf3081f2fded5f3ae55fc9a43d0a57dca69a9ae12bbea1cfa392eb8931463,8deb91b1e559a4619629f0d4e1ce431bbdd7c5e2f40fc619626a7cc8a1fb82c5,f2299cb95fd51f374666233fa3db1b70039edfdcdc9c72f1d6011367b6537fbd,0.6433858275413513,0.665472686290741,0.6676535606384277,0.65883735815684,0.013425773795246877,0.779912,-0.12107464184316008,0.12107464184316008,0.15524141421488588,0.2046821564435959,0.19867956638336182,0.19653822481632233,0.19996664921442667,0.004221770037311731,0.154277,0.04568964921442667,0.04568964921442667,0.2961533424582191,0.3694765956782256,0.35694962842678485,0.35645171987641067,0.3609593146604737,0.007380381777567576
vlm3r_baseline,Baseline,layer_0,100,d1d499ad2719087570ee5022eaa1cc03fe505b3b32ef5a15cfbd5b85ed4ba990,0b3645f3995f33cc2eee6a487e54c05468e28f9ff27c72aad82f67d29d1facd7,0408acd048b7b6051b9bb1b0f0b7f70d2bcdd6518c126120930ca83d6ff9b7d8,0.7055488228797913,0.7134397625923157,0.7142196297645569,0.7110694050788879,0.004796839487029165,0.779912,-0.06884259492111211,0.06884259492111211,0.08826969571068545,0.1796247363090515,0.1768745332956314,0.17692485451698303,0.17780804137388864,0.0015735051388268092,0.154277,0.023531041373888645,0.023531041373888645,0.15252462372154402,0.3234883780659436,0.3189218143359468,0.3191037964112438,0.32050466293771135,0.0025855746641247133
vlm3r_baseline,Baseline,layer_0,200,41c98a12df9ff81c2777475019d43a153cb65174b56cc7cf06c6b2c13d14e67d,f3ad3624e8243a7183a60ada8f4037f96e06902f6372d8ba0c652df1c0c538c9,40f5aa77baea685f0c6ba25ab020e4752a31d09e425cf07ffd26bdb231994ac8,0.7365047335624695,0.7294332385063171,0.7312043905258179,0.7323807875315348,0.003679598214288026,0.779912,-0.047531212468465256,0.047531212468465256,0.060944327652947064,0.17384445667266846,0.1708536446094513,0.17382177710533142,0.17283995946248373,0.0017202364989229192,0.154277,0.018562959462483736,0.018562959462483736,0.12032227397786927,0.30496969018310727,0.3069887911528428,0.30820710025983794,0.3067218605319293,0.0016351284256948307
vlm3r_baseline,Baseline,layer_0,400,131b47a3f9cb581d0eb96121688b7c80df450bb576555be979d610d04c50ea19,131b47a3f9cb581d0eb96121688b7c80df450bb576555be979d610d04c50ea19,131b47a3f9cb581d0eb96121688b7c80df450bb576555be979d610d04c50ea19,0.7547980546951294,0.7521809339523315,0.7540842890739441,0.7536877592404684,0.0013528699779442677,0.779912,-0.02622424075953167,0.02622424075953167,0.033624615032890465,0.16241903603076935,0.16236361861228943,0.16177159547805786,0.16218475004037222,0.0003588736432765954,0.154277,0.007907750040372225,0.007907750040372225,0.05125683050858018,0.28906559306319474,0.2909882722854413,0.28995894175623566,0.2900042690349572,0.0009621407223280097
vlm3r_baseline,Baseline,layer_1,25,1ccaf3081f2fded5f3ae55fc9a43d0a57dca69a9ae12bbea1cfa392eb8931463,8deb91b1e559a4619629f0d4e1ce431bbdd7c5e2f40fc619626a7cc8a1fb82c5,f2299cb95fd51f374666233fa3db1b70039edfdcdc9c72f1d6011367b6537fbd,0.6553611159324646,0.6736015677452087,0.675478458404541,0.6681470473607382,0.01111263746835811,0.789759,-0.12161195263926183,0.12161195263926183,0.15398615607959115,0.2007097750902176,0.19558508694171906,0.1943650245666504,0.19688662886619568,0.0033666709577049995,0.148129,0.04875762886619567,0.04875762886619567,0.3291565383293998,0.35990816344036997,0.3499477592598148,0.3506851654117274,0.35351369603730404,0.005550031710258419
vlm3r_baseline,Baseline,layer_1,100,d1d499ad2719087570ee5022eaa1cc03fe505b3b32ef5a15cfbd5b85ed4ba990,0b3645f3995f33cc2eee6a487e54c05468e28f9ff27c72aad82f67d29d1facd7,0408acd048b7b6051b9bb1b0f0b7f70d2bcdd6518c126120930ca83d6ff9b7d8,0.7159379124641418,0.7175240516662598,0.7251110076904297,0.7195243239402771,0.004902778384272336,0.789759,-0.07023467605972289,0.07023467605972289,0.08893178306258351,0.17985109984874725,0.1745162159204483,0.17759081721305847,0.17731937766075134,0.002677780088995945,0.148129,0.029190377660751332,0.029190377660751332,0.1970605192821887,0.3182311952019565,0.3158193359141044,0.3140835071752096,0.3160446794304235,0.002083005945038353
vlm3r_baseline,Baseline,layer_1,200,41c98a12df9ff81c2777475019d43a153cb65174b56cc7cf06c6b2c13d14e67d,f3ad3624e8243a7183a60ada8f4037f96e06902f6372d8ba0c652df1c0c538c9,40f5aa77baea685f0c6ba25ab020e4752a31d09e425cf07ffd26bdb231994ac8,0.737086296081543,0.738328754901886,0.7403642535209656,0.7385931015014648,0.001654889901835824,0.789759,-0.051165898498535145,0.051165898498535145,0.06478672417602731,0.16626058518886566,0.17005059123039246,0.170627623796463,0.16897960007190704,0.0023723454841626454,0.148129,0.020850600071907033,0.020850600071907033,0.1407597436822434,0.30018721537445314,0.30132291543127,0.2999394414691374,0.30048319075828683,0.0007376998860317979
vlm3r_baseline,Baseline,layer_1,400,131b47a3f9cb581d0eb96121688b7c80df450bb576555be979d610d04c50ea19,131b47a3f9cb581d0eb96121688b7c80df450bb576555be979d610d04c50ea19,131b47a3f9cb581d0eb96121688b7c80df450bb576555be979d610d04c50ea19,0.7614994049072266,0.7634820938110352,0.7613540291786194,0.7621118426322937,0.0011888964400858374,0.789759,-0.027647157367706288,0.027647157367706288,0.03500708110664936,0.1586945354938507,0.16043652594089508,0.1618678867816925,0.16033298273881277,0.001589207505341858,0.148129,0.012203982738812763,0.012203982738812763,0.0823875320755069,0.2838213100637053,0.28428329563776183,0.2838479110929141,0.2839841722647937,0.00025938966417457483
